Good\0.bmp  1  0 0 155 146
Good\1.bmp  1  0 0 155 146
Good\2.bmp  1  0 0 155 146
Good\3.bmp  1  0 0 155 146
Good\4.bmp  1  0 0 155 146
Good\5.bmp  1  0 0 155 146
Good\6.bmp  1  0 0 155 146
Good\7.bmp  1  0 0 155 146
Good\8.bmp  1  0 0 155 146
Good\9.bmp  1  0 0 155 146
Good\10.bmp  1  0 0 155 146
Good\11.bmp  1  0 0 155 146
Good\12.bmp  1  0 0 155 146
Good\13.bmp  1  0 0 155 146
Good\14.bmp  1  0 0 155 146
Good\15.bmp  1  0 0 155 146
Good\16.bmp  1  0 0 155 146
Good\17.bmp  1  0 0 155 146
Good\18.bmp  1  0 0 155 146
Good\19.bmp  1  0 0 155 146
Good\20.bmp  1  0 0 155 146
Good\21.bmp  1  0 0 155 146
Good\22.bmp  1  0 0 155 146
Good\23.bmp  1  0 0 155 146
Good\24.bmp  1  0 0 155 146
Good\25.bmp  1  0 0 155 146
Good\26.bmp  1  0 0 155 146
Good\27.bmp  1  0 0 155 146
Good\28.bmp  1  0 0 155 146
Good\29.bmp  1  0 0 155 146
Good\30.bmp  1  0 0 155 146
Good\31.bmp  1  0 0 155 146
Good\32.bmp  1  0 0 155 146
Good\33.bmp  1  0 0 155 146
Good\34.bmp  1  0 0 155 146
Good\35.bmp  1  0 0 155 146
Good\36.bmp  1  0 0 155 146
Good\37.bmp  1  0 0 155 146
Good\38.bmp  1  0 0 155 146
Good\39.bmp  1  0 0 155 146
Good\40.bmp  1  0 0 155 146
Good\41.bmp  1  0 0 155 146
Good\42.bmp  1  0 0 155 146
Good\43.bmp  1  0 0 155 146
Good\44.bmp  1  0 0 155 146
Good\45.bmp  1  0 0 155 146
Good\46.bmp  1  0 0 155 146
Good\47.bmp  1  0 0 155 146
Good\48.bmp  1  0 0 155 146
Good\49.bmp  1  0 0 155 146
Good\50.bmp  1  0 0 155 146
Good\51.bmp  1  0 0 155 146
Good\52.bmp  1  0 0 155 146
Good\53.bmp  1  0 0 155 146
Good\54.bmp  1  0 0 155 146
Good\55.bmp  1  0 0 115 88
Good\56.bmp  1  0 0 115 88
Good\57.bmp  1  0 0 115 88
Good\58.bmp  1  0 0 115 88
Good\59.bmp  1  0 0 115 88
Good\60.bmp  1  0 0 115 88
Good\61.bmp  1  0 0 115 88
Good\62.bmp  1  0 0 115 88
Good\63.bmp  1  0 0 115 88
Good\64.bmp  1  0 0 115 88
Good\65.bmp  1  0 0 115 88
Good\66.bmp  1  0 0 115 88
Good\67.bmp  1  0 0 115 88
Good\68.bmp  1  0 0 115 88
Good\69.bmp  1  0 0 115 88
Good\70.bmp  1  0 0 115 88
Good\71.bmp  1  0 0 115 88
Good\72.bmp  1  0 0 115 88
Good\73.bmp  1  0 0 115 88
Good\74.bmp  1  0 0 115 88
Good\75.bmp  1  0 0 115 88
Good\76.bmp  1  0 0 115 88
Good\77.bmp  1  0 0 115 88
Good\78.bmp  1  0 0 115 88
Good\79.bmp  1  0 0 115 88
Good\80.bmp  1  0 0 115 88
Good\81.bmp  1  0 0 115 88
Good\82.bmp  1  0 0 115 88
Good\83.bmp  1  0 0 115 88
Good\84.bmp  1  0 0 115 88
Good\85.bmp  1  0 0 115 88
Good\86.bmp  1  0 0 115 88
Good\87.bmp  1  0 0 115 88
Good\88.bmp  1  0 0 115 88
Good\89.bmp  1  0 0 115 88
Good\90.bmp  1  0 0 115 88
Good\91.bmp  1  0 0 115 88
Good\92.bmp  1  0 0 115 88
Good\93.bmp  1  0 0 115 88
Good\94.bmp  1  0 0 115 88
Good\95.bmp  1  0 0 115 88
Good\96.bmp  1  0 0 115 88
Good\97.bmp  1  0 0 115 88
Good\98.bmp  1  0 0 115 88
Good\99.bmp  1  0 0 115 88
Good\100.bmp  1  0 0 115 88
Good\101.bmp  1  0 0 115 88
Good\102.bmp  1  0 0 115 88
Good\103.bmp  1  0 0 182 175
Good\104.bmp  1  0 0 182 175
Good\105.bmp  1  0 0 182 175
Good\106.bmp  1  0 0 182 175
Good\107.bmp  1  0 0 182 175
Good\108.bmp  1  0 0 182 175
Good\109.bmp  1  0 0 182 175
Good\110.bmp  1  0 0 182 175
Good\111.bmp  1  0 0 182 175
Good\112.bmp  1  0 0 182 175
Good\113.bmp  1  0 0 182 175
Good\114.bmp  1  0 0 182 175
Good\115.bmp  1  0 0 182 175
Good\116.bmp  1  0 0 182 175
Good\117.bmp  1  0 0 182 175
Good\118.bmp  1  0 0 182 175
Good\119.bmp  1  0 0 182 175
Good\120.bmp  1  0 0 182 175
Good\121.bmp  1  0 0 182 175
Good\122.bmp  1  0 0 182 175
Good\123.bmp  1  0 0 182 175
Good\124.bmp  1  0 0 182 175
Good\125.bmp  1  0 0 182 175
Good\126.bmp  1  0 0 182 175
Good\127.bmp  1  0 0 182 175
Good\128.bmp  1  0 0 182 175
Good\129.bmp  1  0 0 182 175
Good\130.bmp  1  0 0 182 175
Good\131.bmp  1  0 0 140 106
Good\132.bmp  1  0 0 140 106
Good\133.bmp  1  0 0 140 106
Good\134.bmp  1  0 0 140 106
Good\135.bmp  1  0 0 140 106
Good\136.bmp  1  0 0 140 106
Good\137.bmp  1  0 0 140 106
Good\138.bmp  1  0 0 140 106
Good\139.bmp  1  0 0 140 106
Good\140.bmp  1  0 0 140 106
Good\141.bmp  1  0 0 140 106
Good\142.bmp  1  0 0 140 106
Good\143.bmp  1  0 0 140 106
Good\144.bmp  1  0 0 140 106
Good\145.bmp  1  0 0 140 106
Good\146.bmp  1  0 0 140 106
Good\147.bmp  1  0 0 140 106
Good\148.bmp  1  0 0 140 106
Good\149.bmp  1  0 0 140 106
Good\150.bmp  1  0 0 108 103
Good\151.bmp  1  0 0 108 103
Good\152.bmp  1  0 0 108 103
Good\153.bmp  1  0 0 108 103
Good\154.bmp  1  0 0 108 103
Good\155.bmp  1  0 0 108 103
Good\156.bmp  1  0 0 108 103
Good\157.bmp  1  0 0 108 103
Good\158.bmp  1  0 0 108 103
Good\159.bmp  1  0 0 108 103
Good\160.bmp  1  0 0 108 103
Good\161.bmp  1  0 0 108 103
Good\162.bmp  1  0 0 108 103
Good\163.bmp  1  0 0 108 103
Good\164.bmp  1  0 0 108 103
Good\165.bmp  1  0 0 108 103
Good\166.bmp  1  0 0 108 103
Good\167.bmp  1  0 0 108 103
Good\168.bmp  1  0 0 128 92
Good\169.bmp  1  0 0 128 92
Good\170.bmp  1  0 0 128 92
Good\171.bmp  1  0 0 128 92
